שם יישוב,סוג יישוב,סטטוס,כתיבים חלופיים,מה הנציג עושה,הערה,מקור,תאריך עדכון,כמות התקנות,תאריך התקנה אחרונה
אבו בלאל,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו גווייעד (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו גוש,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו געדה,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו דיס,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו חמרה,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו טוילה,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו סנאן,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו סריחאן (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו עבדון (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו עמאר (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו עמרה (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו קורינאת (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו קרינאת (יישוב),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו קש,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו רובייעה (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו רוקייק (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו שחידם,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבו תלול,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבטין,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אבטליון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אביאל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אביבים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אביגדור,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,3,דצמבר 2020
אביחיל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אביטל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אביעזר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אבירים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אבן יהודה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,11,דצמבר 2024
אבן מנחם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אבן ספיר,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
אבן שמואל,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אבני איתן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,דצמבר 2021
אבני חפץ,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,9,פברואר 2022
אבנת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,2,יוני 2022
אבשלום,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אבתאן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אג'נסניא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אג׳נסניא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אדורה,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
אדירים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אדמית,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אדנה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אדרת,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אהלו,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אודים,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
אודלה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אודם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אוהד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אום אל - פחם,עיר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אום אל - קוטוף,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אום אל פחם,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אום אל קוטוף,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אום אל תות,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אום אל-פחם,עיר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אום אל-קוטוף,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אום בטין,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אומן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אומץ,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אופקים,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,16,נובמבר 2024
אוצרין,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אור הגנוז,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אור הנר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אור יהודה,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
אור עקיבא,עיר,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לעיר שאינה חריגה,סיווג ראשוני,,,
אורה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,נובמבר 2021
אורות,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,דצמבר 2020
אורטל,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
אורים,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
אורנים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אורנית,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,5,דצמבר 2025
אושה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אזור,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אחווה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אחוזם,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אחוזת ברק,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אחיהוד,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אחיטוב,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
אחיסמך,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אחיעזר,מושב,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל למושב שאינו חריג,סיווג ראשוני,,,
אטרש (שבט),כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
איבים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אייל,קיבוץ,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל לקיבוץ שאינו חריג,סיווג ראשוני,,,
איילת השחר,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אילון,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,1,אוגוסט 2022
אילות,יישוב דרומי,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,,
אילניה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אילת,עיר,לא מתקינים,,לא לקדם,דרומית למצפה רמון / אילת,כלל אזורי,,4,אוקטובר 2020
איתמר,התנחלות,מתקינים,,להמשיך לבדיקת תשתית ושטח,ברירת מחדל להתנחלות שאינה חריגה,סיווג ראשוני,,,
איתן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
איתנים,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אכסאל,כפר,לא מתקינים,,לא לקדם,יישוב ערבי,ויקיפדיה + הנחיית עבודה פנימית,,,
אכתאבא,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל - עזי,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל - עריאן,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל - רום,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
אל בירה,יישוב / לא סווג,מתקינים,,להמשיך לבדיקת תשתית ושטח,לא סווג כסוג יישוב ספציפי - ניתן לעריכה,דורש בדיקה,,,
